,time,review,url
0,2022. 6. 3. 12:27,"           은은한별들     전소미, 하의실종?..아슬아슬 섹시       은은술술   ・  2022. 6. 3. 12:27   URL 복사  이웃추가  본문 기타 기능                      공유하기                   신고하기                 안녕하세요 여러분..​과감한 패션으로 이목을 사로잡는 스타가 있어 조명해 봅니다.​전소미, 하의실종?..아슬아슬 섹시                    가수 전소미가 근황을 공개했습니다.​전소미는 2일 자신의 인스타그램에 여러 장의 사진을 게재했습니다.​공개된 사진에는 소파에 앉아 있는 전소미의 모습이 담겼습니다.전소미는 블랙 패션으로 멋을 냈습이다. 특히 시스루 블랙 스타킹으로 하의실종을 연상케 했습니다. 여기에 각선미까지 뽐내며 팬들의 시선을 사로잡았습니다.                    사진을 접한 팬들은 ""예뻐요"" ""사랑스러워""등 다양한 반응을 보였습니다.​한편, 전소미는 지난해 10월 첫 정규 앨범 'XOXO'를 발매한 바 있습니다. 그는 그룹 아이오아이 출신으로 시청자들에게 많은 사랑을 받았습니다.              [CS강사출장예약권] 진서현 국제매너 직장예절 기업 연수 회사워크샵 교육 프로그램 대학교MT OT 엠티 오티장소추천 당일야유회 1박 호텔 리조트 사륜바이크 무한리필BBQ 레저패키지 : 레저 여행 행사-포엔터 [레저 여행 행사-포엔터] 펜션 리조트 콘도숙박레저 기업회사대학교회 단체워크샵프로그램 예능기획 생활건강사무 렌탈대여 naver.me            넘  이쁘고 상큼한 캐릭터죠.​잘 보셨나요.​그렇다면 공감을 부탁드립니다.​감사합니다.       ",https://blog.naver.com/passion279/222757833321
1,2022. 9. 18. 22:40,"        Merry Lovey :     프라다 심볼 자카드 핸드백 튀면서 예쁜 거 같아요🙂 아이린 전소미 티파니 노윤서 홍수주 착용       러비Lovey   ・  2022. 9. 18. 22:40   URL 복사  이웃추가  본문 기타 기능                      공유하기                   신고하기                 본 포스팅은 리뷰 및 정보 공유의 목적으로 작성되었습니다.​안녕하세요 이웃님들 :) 요즘 꾸준히 메리러비로 오는 톡 들을 공부와 잠자는 시간을 제외하고 늘 바로바로 확인하고 있어요 어제 감동받은 일화가 있는데요 저는 쿠팡이나 다른 라이브 커머스에서도 입점 제안이 오면 늘 고민해요 메리러비고객님 만큼이나 좋은 사람들을 또 만날 수 있을까? 하면서 막상 마지막까지 고민하거든요.. 아직도 현재 진행 중이고요 수많은 포스팅을 올리고 또 과감하게 시즌 지나면 지우면서 보내고 있는데 배송기간에 대해 고지하면 후기까지 오는 센스 가득한 분들을 매일 보니 감동이더라고요 - 지금은 잡화 가방 의류지만 악세사리나 뷰티 브랜드까지도 가고 싶은 제 마음이에요 의류도 너무 다양한데 다른 블로그보다는 더딘 느낌?.. 한번 브랜드에서 연락 오고 최애 브랜드였는데게시글 내려간 이후로 한 브랜드는 다른 블로그에 꾸준히 포스팅하고 있거든요 거기다 쓴 돈이 얼만데 선물 받은 제품이라 인증도 못해서 답답했고 사이트를 옮겨야 되나 생각이 많았지만 네이버는 진짜 못 버리겠어요.. 아마 제가 나이를 먹고 정말 늙었다고 생각할 때까지 쭉 지키고 있을 거 같아요 오늘은 제가 두어 달 전부터 업데이트해야지 마음먹었던 프라다 핸드백이에요 우리들의 블루스에 나온 노윤서님과 아름답다고 유명하신 홍수주 님도 착용했지요 :) 초소형과 소형으로 두 가지 있는데 둘 다 예쁘니까 ^^ 그런 의미로 두 사이즈 크기와 사진 올려드리도록 할게요 색상은 이 색상이에요 공홈에서 봤었는데 왜 오늘 안 보이는지..? 홍수주 님과 노윤서님 똑같은 컬러와 사이즈로 착용하셨어요 보여드리도록 할게요​                                <출처: 프라다 공식홈페이지>​소형 360만 원 초소형 290만 원에 판매하고 있어요​                                                       실제 색상은 이거에 가까운 거 같아요 뭐가 진짠지 하다가 셀럽들이 착용한 사진이랑 제가 비교해 봤는데 요런 느낌의 컬러더라고요​                                                        <출처: 인스타그램>​                                                        <출처: 공식 홈페이지>​컬러는 다른데 이런 느낌이에요 - 마리오 프라다가 디자인한 트렁크에 처음 선보인 프라다의 트라이앵글은 매 시즌 다양한 방식으로 재해석되는 보편적인 미니멀리스트의 형태를 통해 유니크함과 모던함을 표현되고 기하학적 디자인이 대비되는 컬러로 표현되고 매끈한 토트백을 장식하는 세련되면서도 모던한 패턴으로 바뀌었어요 모양과 재질은 이런 느낌이에요오늘 포스팅도 봐주셔서 감사하고 이번에 또 태풍이 온다네요ㅠㅠ.. 이웃님들도 조심하세요!​색상: 블랙소재: 사피아노 가죽 디테일, 패브릭 핸들사이즈: 22*9*28 / 19*6*17​출처를 기재하지 않은 사진은 모두 실사컷들입니다.모니터 해상도 촬영 시 빛의 각도에 따라 색상 차이가 있을 수 있으며 궁금하신 점 있으시면 비밀댓글로 문의주세요이웃 추가 시 더 많은 리뷰들과 정보 공유를 받아 보실 수 있습니다​#프라다심볼핸드백#프라다핸드백#프라다가방#프라다심볼핸드백 #노윤서가방#홍수주가방#브랜드핸드백#명품핸드백추천#일상#데일리#좋아요       ",https://blog.naver.com/charminggg96/222878056147
2,2022. 11. 13. 14:00,"           바다에 던져진 이름     가수 전소미, 변덕스러운 결혼관이 화제...27살 결혼 희망에서 30대 초반으로...급기야 ""결혼 안한다"" 비혼 선언       바다만큼   ・  2022. 11. 13. 14:00   URL 복사  이웃추가  본문 기타 기능                      공유하기                   신고하기                 ​                    ​하이~ 안녕하세요​가수 전소미(21)의 변덕스러운 결혼관이 화제다.​             전소미 인스타그램        ​전소미는 2019년 12월 방송된 SBS '정글의 법칙 in 추크'에서 27살에 결혼하고 싶다고 포부를 밝혔다.​             이하 '정글의 법칙 in 추크'                   ​당시 18살이던 전소미는 한현민과 진솔한 대화를 나눴다. 전소미는 ""20살 되면 뭐 하고 싶냐""는 한현민의 질문에 ""난 결혼하고 싶다""고 대답했다.​전소미는 ""결혼해서 안정적인 행복한 삶을 살고 싶다. 27살에 결혼하고 싶은데 이제 20살 되면 7년밖에 안 남았다. 내 남자를 언제 찾냐""고 덧붙였다.​스무살에 뭐하고 싶냐는 질문에 결혼하고 싶다고 말했던 전소미. 적어도 27살엔 웨딩마치를 올리고 싶다던 전소미. 벌써 남편감 찾기에 돌입한 듯했다.​             이하 '신상출시 편스토랑'                   ​전소미는 2020년 2월 방송된 KBS 2TV 예능 프로그램 '신상출시 편스토랑' 17회에서도 조기 결혼 의지를 재천명했다.​이날 방송에서 전소미는 가수 이정현 남편이 이정현에게 팩을 발라 주는 등 알콩달콩한 신혼 생활을 보고 부러움을 나타냈다. 이를 본 이유리는 ""전소미 씨 빨리 결혼하고 싶다고 하더라""고 말했다.이에 전소미는 ""정말 부럽다. 저도 빨리 결혼하고 싶다. 너무 재미있을 것 같다""고 했다.​그러던 어느 날 전소미는 '부러우면 지는 거다'라는 연예인 커플 연애 프로그램에 고정 패널로 들어간다. 그 이후 심경 변화를 일으킨다. 결혼 계획이 바뀐 것.​             전소미 / 뉴스1        ​2020년 3월 열린 MBC 예능 프로그램 '부러우면 지는 거다' 온라인 기자간담회에서 전소미는 공개 연애를 할 생각이 있냐는 질문에 ""이제 스무 살이라 연애 생각 없다. 일에 몰두하고 있다""고 답했다.​이어 ""원래 목표는 27살에 결혼하는 거였지만, 이 프로그램을 하게 되면서 결혼이 쉬운 게 아니구나 깨달았다. 결혼도 살짝 미뤄 30대 초반에 하고 싶다""고 말을 바꿨다.​방송에 출연하더니 별안간 연애 생각도 없어지고 결혼 목표도 미뤄진 것이다.​             '부러우면 지는거다'        ​그리고 그해 5월 방영된 '부러우면 지는 거다'에서는 비혼 선언을 해버린다.​누리꾼들은 ""어릴 때는 아무 생각 없이 결혼하고픈 생각이 든다"", ""20대의 비혼 선언은 믿을 필요가 없다"", ""전소미 정도면 하기 싫을 수도"", ""생각은 언제든 바뀐다"" 등 반응을 보였다.       ",https://blog.naver.com/azaleass/222927282108
3,2022. 9. 17. 13:20,"        마케팅/디자인 이야기     Fun한 마케팅이 뜬다! '재미 비용, 펀슈머' (재미있는 SNS마케팅/콘텐츠 기획방법/펀 마케팅 레퍼런스)       글로운   ・  2022. 9. 17. 13:20   URL 복사  이웃추가  본문 기타 기능                      공유하기                   신고하기                 가성비, 가심비를 너머 뜨고 있는 '가잼비'!재미에 지갑을 여는 MZ세대를 겨냥하여많은 브랜드에서 새로운 펀슈머 마케팅을 진행하고 있는데요,SNS마케팅, 이벤트를 준비하는 사장님들, 브랜드들에서참고하시면 좋을 정보가 담겨있어요!​GLOWN 글로운 마케팅디자인/마케팅/브랜딩을 함께 운용하는 종합광고대행사입니다.글로운은 많은 경험으로 쌓은 노하우를 바탕으로 소상공인 및 스몰 브랜드들의바이럴마케팅을 도와드리고 있습니다.                             재미있으면 지갑을 연다!'펀슈머 마케팅'         펀슈머란?MZ세대의 지갑을 열기위한 새로운 마케팅 바람이 불고 있어요! '펀슈머'는 재미를 뜻하는 영단어 'Fun'과 소비자를 뜻하는 영단어 'Counsumer'의 합성어로 단순히 소비에서 그치지 않고 그 과정에서 재미를 추구하는 소비자를 뜻해요.​펀슈머 마케팅, 펀 마케팅은 이러한 펀슈머를 잡기 위한 최근 이슈로 떠오르는 마케팅으로 소비자의 유머코드를 파악하여 재미있는 마케팅을 펼치는 전략입니다. 소비자의 관심을 끌어내고 소비자가 자발적으로 참여할 수 있도록 만드는 것이죠.​이러한 펀슈머 마케팅이 떠오르는 이유는 펀슈머들은 제품에서 재미를 찾으면, SNS를 통해 다른 사람들과 공유하고 소통하기 때문에 최소 비용으로 최대 마케팅 효과를 얻을 수 있는 바이럴이 진행되어 브랜드 인지도의 효과, 제품 홍보 효과 등을 MZ세대에게 각인시키기 좋아요. 최근에는 대기업을 너머 중소기업계에도 이와 같은 마케팅 사례들이 많아지고 있는 추세입니다.         펀 마케팅 사례 ①  팔도비빔면 > 괄도네넴띤 출시             출처 : 팔도비빔면        팔도비빔면 = 괄도네넴띤? 한글의 자음과 모음을 비슷하게 바꾸는 일종의 인터넷 밈이 유행할 때 발빠르게 팔도에서 선보인 '괄도네넴띤' 한정판 비빔면입니다. 이는 팔도비빔면 35주년을 맞이하여 출시되어 한정판매 수량 완판, 추가 물량까지 완판되었다고 합니다. 출시 시 소비자들에게 큰 재미를 주면서 온라인상에서 뜨겁게 화제가 되었던 마케팅이었죠.             출처 : 팔도비빔면x미샤 콜라보        이후 팔도의 마케팅 행보는 뷰티업계와의 콜라보로 이어졌는데요, 미샤와 콜라보를 하면서 '팔도비비면'이라는 콜라보 제품이 출시되었습니다. 소비자들의 반응은 황당해하면서도 재미있고 신선했다는 반응이 이어졌습니다. 그러나 아래 글에서도 설명될 내용이지만 식품 모양의 화장품 개발은 2023년 부터 법으로 금지될 것이라고하니 주의가 필요하겠습니다.​         펀 마케팅 사례 ② 곰표                    출처 : 곰표4XR 콜라보 상품 / 전소미 인스타그램 / 곰베이커리 공식 인스타그램        곰표는 신선한 콜라보 마케팅으로 소비자들에게 재미를 주면서 이른바 '대 콜라보 시대'의 서막을 연 브랜드이죠. 익숙하지만 MZ에게는 조금은 낮선 곰표는 패션, 식품, 뷰티 업계 등 다양한 업계와 콜라보 마케팅으로 인기를 끌면서 MZ세대에게 제대로 브랜드를 각인시켰다고 평가받습니다. 전혀 어울리지 않는다고 생각했던 업계들과의 다양한 콜라보로 신선한 이미지를 주었지만 이후 여러 브랜드들이 줄기차게 마케팅 포인트들을 따라하면서 피로도를 유발한다는 의견도 있었습니다.          펀 마케팅 사례 ③ 배달의민족 신춘문예                                           MZ세대 겨냥을 잘 하는 마케팅을 펼치는 '배달의민족'에서 꾸준히 진행하고 있는 배달의민족 신춘문예 이벤트는 한 해 25만명이 참여하는 등 MZ세대에게 긍정적으로 평가받고 있습니다. 배달의민족 신춘문예는 음식을 소재로 한 25자 이내의 짧은 시를 작성하여 제출하는 것인데요, 심사를 통해 수상을 받는 사람들에게 배달의민족 쿠폰을 증정하는 방식으로 재미있는 이벤트를 진행하고 있어요. 특히 대상을 받은 수상자에게는 365일 배민 자유이용권 혜택을 주면서 더더욱 화제가 되기도 했습니다.​브랜드를 운영하면서 인스타그램 마케팅 또는 인스타그램 이벤트를 진행하려면 배달의민족 이벤트 사례처럼 SNS를 많이 이용하는 MZ세대를 겨냥한 재미있는 펀슈머 마케팅을 고민해보세요.                  단. 선은 넘지 마세요!                    펀슈머 마케팅은 소비자들 사이에서 재미있다는 반응을 불러일으키면서 이슈가 되기도 하지만 주의해야할 사항도 있어요. 펀슈머 마케팅의 문제로 지적되고 있는 식품 브랜드와 비식품 브랜드의 콜라보는 선을 넘었다며 많은 논란을 불러 일으키기도 했는데요, 소주를 만드는 진로에서 소주 디자인 그대로 방향제를 출시하여 술로 오인될 수 있는 점, 디저트류 모양을 한 뷰티 제품들이 유아들에게 혼란을 주어 먹으려고 하는 등의 문제들이 발생하면서 많은 사람들의 눈쌀을 찌푸리게 만들기도 했습니다. 특히 식품 모양을 한 화장품의 개발은 2023년 법으로도 금지될 예정이라고 합니다.                             ​       ",https://blog.naver.com/glown_official/222876633232
4,2022. 9. 12. 13:32,"           So의. 패션     버버리, 에뜨로, 베르사체, 발렌시아가, 프라다 머리끈 아이쇼핑!! : 명품 헤어 악세사리를 구경해봐요.       soso의   ・  2022. 9. 12. 13:32   URL 복사  이웃추가  본문 기타 기능                      공유하기                   신고하기                            곱창 머리끈 부자 꿍이랍니다. 쿠팡에서 40개 세트 만원 조금 넘는가격에 구매했어요. 처음에는 ZARA나 로드샵에서 예쁜것 한두개 사줬는데, 매번 머리끈이 없어지는 겁니다. (아마 침대옆으로 다들어간듯요) 도저히 안되겠다 싶어서 벌크로 구매했어요. 어짜피 잘 잃어버리고, 소지품을 잘 간수하지 못하는 초1이니까 말이죠. 꿍이는 머리 숱이 엄청나서  고무줄로만 묶어주면 잔머리가 모두 탈출하기때문에 곱창머리끈은 필수랍니다. 현실은 저도 꿍이꺼 얻어쓰고 있지만 요즘 곱창머리끈이 유행이어서인지 명품 헤어 스크런치에도 눈이 가긴합니다. 뭐 아이쇼핑은 자유니까요? 우리한번 파페치에서 명품 헤어 스크런치들을 구경해봐요.                    ​                                          Prada트라이앵글 로고 헤어 스크런치프라다 삼각로고가 떡하니 부착되어있는 스크런치랍니다. 정말 기본중에 기본아이템인것 같아요.​​​​​​​              @전소미 인스타그램                                         Prada트라이앵글 로고 헤어 스크런치아이오아이의 전소미는 사랑스러운 핑크컬러룰 착용했었답니다. 부드러운 테리소재로 빅사이즈의 스크런치랍니다.​​​​​​                               Miu Miu펄 디테일 헤어 스크런치​요 디자인으로 블랙컬러를 봤었는데 정말 예쁘더라구요. 파페치에는 라이트스카이 컬러만 있네요.  펄 디테일이 고급스러운 미우미우 헤어 스크런치랍니다.​​​​                               ETROPegaso abstract-print scrunchie와~ 정말 반가운 에뜨로 헤어 스크런치랍니다. 저랑 비슷한 세대시라면 20대 초반에 에뜨로 원통백 들고다니면서, 페라가모나 버버리, 에뜨로 헤어 악세사리를 엄청 하고 다녔을거에요. 에뜨로의 시그니처 심볼 페가수스가 정말 고급스러워요. 요렇게 얇은 아이는 팔찌처럼 차고있어도 예쁘죠.​​​​​​​                         @google        Versace바로크 패턴 프린트 헤어슈슈나이들었는지, 자꾸 베르사체에 눈이갑니다. 신비로우면서도 고급스러운 바로크 패턴의 헤어슈슈!! 올블랙으로 차려입고 로우번으로 묶어주고 착용하면 정말 고급스럽겠죠?​​​                    Versace트레조 드 라메르 프린트 실크 헤어 스크런치요렇게 사랑스러운 컬러감의 베르사체 헤어 스크런치도 있어요.​​​​​                                          Balenciaga플로럴 프린트 헤어슈슈신기했던 발렌시아가 헤어 스크런치랍니다. 지퍼가 달려있어서 헤어스크런치안에 소지품(?)을 넣을 수 있나봐요. 아!! 일반 고무줄을 넣어다니면 되겠네요. 헤어 스크런치만으로 머리를 묶으면 질질 흘러내리니까요. 로고는 지퍼에 써있답니다. 절말 좋은 아이디어인것 같아요.​​​​                    Mulberry솔리드 헤어 스크런치멀버리 오랫만!! 멀버리 가방 어딘가에 짱박혀있는데 말이죠. 진짜 안든지 오래됬네요. 고대 유물로 전락해 버린 멀버리가방. 오늘한번 찾아봐야겠네요. 핫 핑크컬러의 멀버리 헤어 스크런치랍니다.​​​​                    Burberry체크 패턴 캐시미어 헤어슈슈캐시미어 소재로 만들어진 베이직한 버버리 체크 헤어 스크런치랍니다.​​​​                    Burberry플로럴 프린트 트윌 헤어슈슈​​​​​​                    Salvatore Ferragamo모노그램 패턴 실크 헤어 스크런치페라가모 모노그램 패턴을 저렇게 겹쳐놓으니 페라가모인지 알아보기 힘들었어요. 페라가모 헤어악세사리는 뭐니뭐니해도 헤어핀과 머리띠죠??                   파페치 직구 방법 ​ 관부가세 포함결제 신규 첫구매 15%할인코드: NC15FF (일부상품 제외) 한국직배송료 16,000원부터 ​                    ​​​       ",https://blog.naver.com/canivalism/222872616124
5,2022. 3. 25. 10:46,"        만나다: 해외KCC축제     [코리아콘텐츠위크 X 베트남] 전소미와 함께하는 케이팝 댄스챌린지!       KCULTURESCENE   ・  2022. 3. 25. 10:46   URL 복사  이웃추가  본문 기타 기능                      공유하기                   신고하기                                                                                   ​케이팝을 사랑하는 사람들모두모두 코코윅에 모여라!​베트남은 'K-pop Lovers Festival' 개최한글 손글씨 대회, 한식 강좌 등한국문화에 대한 열정이 가득한 곳입니다.​그래서 준비한 코코윅 X 전소미'DUMB DUMB'에 맞춰 신나게케이팝 댄스를 즐겨보세요!​[코코윅 만나다; 베트남 즐기기]https://youtu.be/caqEYAYi6p4​                          코리아 콘텐츠 위크 홈페이지 http://kocoweek.com/코리아 콘텐츠 위크 인스타그램 https://www.instagram.com/kocoweek/코리아 콘텐츠 위크 페이스북 https://www.facebook.com/kocoweek/코리아 콘텐츠 위크 유튜브 https://han.gl/OYRFR       ",https://blog.naver.com/kocoweek/222682469047
6,2022. 6. 1. 23:07,        스타패션     전소미 인스타그램 백리스 셔츠 바디수트 / 자크뮈스 (JACQUEMUS)       IN KOREAN STYLE   ・  2022. 6. 1. 23:07   URL 복사  이웃추가  본문 기타 기능                      공유하기                   신고하기                 안녕하세요!in_korean_style 입니다.٩(๑•ㅂ•)۶​전소미 인스타그램 백리스 셔츠 바디수트​​전소미 인스타그램에서 착용한 백리스 셔츠 바디수트바로 자크뮈스 (JACQUEMUS) 제품입니다!                                                     …                                            자크뮈스 (JACQUEMUS)La Chemise cut-out bodysuit€500.00 EUR         ​​​​​◈출처◈-전소미 인스타그램 @somsomi0309-자크뮈스 공식 홈페이지​​인스타그램 @in_korean_style팔로우 하시면 더 많은 패션 정보가 매일매일 업데이트됩니다!​​​​​​​ ​​​​ ​​​​       ,https://blog.naver.com/in_korean_style/222755521305
7,2022. 3. 11. 17:03,"           02     전소미 개인인스타그램 사진 핸드폰 배경화면       도희찡   ・  2022. 3. 11. 17:03   URL 복사  이웃추가  본문 기타 기능                      공유하기                   신고하기                 전소미 개인인스타그램 사진 핸드폰 배경화면 기본사이즈 | 9:16 / 모든기종가능            📌블로그의 자료는 자유롭게 이용하세요저장후에는 ""이웃추가와좋아요 ""잊지말고  꼭 한번씩만 남겨주세요 블로그운영에 큰 힘이 될꺼예요♥︎​              전소미 개인인스타그램 사진 핸드폰 배경화면 📌 블로그의 자료는 자유롭게 이용하세요 저장후에는 ""구독과좋아요 ""잊지말고 꼭 한번씩만 남겨주세요 블로그운영에 큰 힘이 될꺼예요♥︎ 기본사이즈 | 9:16 / 모든기종가능 nevertheless11.tistory.com                     #전소미 #전소미배경화면 #여친룩 #여친짤 #카톡짤 #카톡프사 #프사#아이폰배경화면 #핸드폰배경화면 #예쁜배경화면 #배경화면        ",https://blog.naver.com/gooddaykiki/222669906366
8,2022. 6. 23. 11:44,        아이오아이     전소미 인스타그램       정글피쉬   ・  2022. 6. 23. 11:44   URL 복사  이웃추가  본문 기타 기능                      공유하기                   신고하기                                                                                   https://www.instagram.com/p/Ce-kmxhLnqV/?igshid=YmMyMTA2M2Y=                 ​​       ,https://blog.naver.com/oper45454/222785427922
9,2022. 7. 31. 11:10,"           볼거리     전소미, 탈색모 블랙 드레스 조합 정석…싱그러운 미소까지       오징어   ・  2022. 7. 31. 11:10   URL 복사  이웃추가  본문 기타 기능                      공유하기                   신고하기                 ​전소미, 탈색모 블랙 드레스 조합 정석…싱그러운 미소까지         ​                    ​(엑스포츠뉴스 김노을 기자) 가수 전소미가 싱그러운 근황을 전했다.​​​​​전소미는 31일 자신의 인스타그램을 통해 별다른 글 없이 근황이 담긴 사진 여러 장을 공개했다.​​​​​                               ​​​​​게재된 사진에는 전소미가 플리마켓 상품들을 구경 중인 모습이 담겨 있다. 그는 노란 탈색모에 검은색 드레스를 매치해 세련되면서도 감각적인 분위기를 자아냈다.​​​​​​또 다른 사진 속 그는 환한 미소를 지으며 여유로운 여가 시간을 즐기는 모습이다. 또래들과 다를 바 없이 소소한 일상을 즐기는 가운데 팬들과 소통도 잊지 않는 따뜻한 마음이 엿보인다.​​​​​​한편 전소미는 프로젝트 그룹 아이오아이로 활동하다 솔로 가수로 데뷔했다. 지난해 10월 정규 1집 'XOXO'를 발매했다. 최근에는 약 4억원 대 B사 외제차를 공개해 화제를 모았다.​​​​​​​사진=전소미 인스타그램​김노을 기자 sunset@xportsnews.com       ",https://blog.naver.com/testnori89/222835193357
